Covidence #,Study ID,Title,Reviewer Name,What was the event?,Event Origin (What system did the event originate in?),Region,Year the event occurred?,Scale of the event?,Assessment Method,How long did the event last?,Did the paper analyse a regime change or shift to an alternate state?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,"What element of the ecosystem service supply chain was impacted, and what was the type of impact",Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,What element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,Which element of the ecosystem service supply chain was impacted?,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,Which element of the ecosystem service supply chain was impacted? ,Which ecosystem service was impacted by the event?,Was the impact on the ecosystem service positive or negative?,Which element of the ecosystem service supply chain was impact?
998,Reynolds 2017,Lessons from the Thoku tsunami: A model for island avifauna conservation prioritization,Consensus,Tsunami,Environmental,Micronesia,2011,Local,Opportunistic observational studies after one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
923,Trauernicht 2018,Active restoration enhances recovery of a Hawaiian mesic forest after fire,Consensus,Bushfire,Environmental,Polynesia,2003-2017,Local,Long-term observational study of one event,< 1 year,No,Habitat Creation and Maintenance,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
910,Castaneda-Moya 2020,"Hurricanes fertilize mangrove forests in the Gulf of Mexico (Florida Everglades, USA)",Consensus,Cyclone/hurricane/typhoon,Environmental,Northern America,2017,Local,Opportunistic observational studies after one event,< 1 year,No,"Formation, protection and decontamination of soils and sediments",Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
901,Granek 2007,Protective capacity of mangroves during tropical storms: a case study from 'Wilma' and 'Gamma' in Belize,Consensus,Cyclone/hurricane/typhoon,Environmental,Central America,2007,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of hazards and extreme events,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
880,Pavon-Jordan 2020,Positive impacts of important bird and biodiversity areas on wintering waterbirds under changing temperatures throughout Europe and North Africa,Consensus,Climate change,Environmental,Northern Africa; Eastern Europe; Northern Europe; Southern Europe; Western Europe,1990-2015,Global,Long-term observational study of one event,> 10 years,No,Habitat Creation and Maintenance,Positive,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
868,Gautam 2020,Do earthquakes change the timber and firewood use pattern of the forest dependent households? Evidence from rural hills in Nepal,Consensus,Earthquake,Environmental,Southern Asia,2015,Local,Survey or questionnaire,< 1 year,No,"Materials, companionship and labour",Negative,Direct impact on Demand; Direct impact on Flow,,,,,,,,,,,,,,,,,,,,,
850,Vaneli 2022,"Conceptual model to analyze the effects caused by technological disaster on the physical-chemical state of the lower Doce River waters, Brazil",Consensus,"Human-caused accident (Dam collapse, oil spill, chemical contamination, etc.)",Social,South America,2015,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of freshwater and coastal water quality,Negative,Direct impact on Supply,,,,,,,,,,,,,,,,,,,,,
819,Caroppo 2017,The First World War in the Mar Piccolo of Taranto: First case of warfare ecology?,Consensus,Armed conflict,Social,Southern Europe,1883-1926,Local,Long-term observational study of one event,> 10 years,No,Food and Feed,Negative,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,,,,,,,,,,
814,Lasco 2016,"Smallholder farmers' perceptions of climate change and the roles of trees and agroforestry in climate risk adaptation: evidence from Bohol, Philippines",Consensus,Climate change,Environmental,South-eastern Asia,2012,Local,Survey or questionnaire,> 10 years,No,Regulation of hazards and extreme events,Negative,Direct impact on Demand; Indirect impact on Demand,,,,,,,,,,,,,,,,,,,,,
760,McAdoo 2011,"Coral reefs as buffers during the 2009 South Pacific tsunami, Upolu Island, Samoa",Consensus,Tsunami,Environmental,Polynesia,2009,Local,Opportunistic observational studies after one event,< 1 year,No,Regulation of hazards and extreme events,Negative,Direct impact on Supply,Food and Feed,,Direct impact on Supply; Direct impact on Demand,,,,,,,,,,,,,,,,,,
